Idx	myDate	Value	SMA	Distance	Account	Trend
100	2000-05-19	0,00	0,00	0,0000	0,00	0
101	2000-05-22	0,00	0,00	0,0000	0,00	0
102	2000-05-23	0,00	0,00	0,0000	0,00	0
103	2000-05-24	0,00	0,00	0,0000	0,00	0
104	2000-05-25	0,00	0,00	0,0000	0,00	0
105	2000-05-26	0,00	0,00	0,0000	0,00	0
106	2000-05-29	0,00	0,00	0,0000	0,00	0
107	2000-05-30	0,00	0,00	0,0000	0,00	0
108	2000-05-31	0,00	0,00	0,0000	0,00	0
109	2000-06-01	0,00	0,00	0,0000	0,00	0
110	2000-06-02	0,00	0,00	0,0000	0,00	0
111	2000-06-05	0,00	0,00	0,0000	0,00	0
112	2000-06-06	0,00	0,00	0,0000	0,00	0
113	2000-06-07	0,00	0,00	0,0000	0,00	0
114	2000-06-08	0,00	0,00	0,0000	0,00	0
115	2000-06-09	0,00	0,00	0,0000	0,00	0
116	2000-06-12	0,00	0,00	0,0000	0,00	0
117	2000-06-13	0,00	0,00	0,0000	0,00	0
118	2000-06-14	0,00	0,00	0,0000	0,00	0
119	2000-06-15	0,00	0,00	0,0000	0,00	0
120	2000-06-16	0,00	0,00	0,0000	0,00	0
121	2000-06-19	0,00	0,00	0,0000	0,00	0
122	2000-06-20	0,00	0,00	0,0000	0,00	0
123	2000-06-21	0,00	0,00	0,0000	0,00	0
124	2000-06-22	0,00	0,00	0,0000	0,00	0
125	2000-06-23	0,00	0,00	0,0000	0,00	0
126	2000-06-26	0,00	0,00	0,0000	0,00	0
127	2000-06-27	0,00	0,00	0,0000	0,00	0
128	2000-06-28	0,00	0,00	0,0000	0,00	0
129	2000-06-29	0,00	0,00	0,0000	0,00	0
130	2000-06-30	0,00	0,00	0,0000	0,00	0
131	2000-07-03	0,00	0,00	0,0000	0,00	0
132	2000-07-04	0,00	0,00	0,0000	0,00	0
133	2000-07-05	0,00	0,00	0,0000	0,00	0
134	2000-07-06	0,00	0,00	0,0000	0,00	0
135	2000-07-07	0,00	0,00	0,0000	0,00	0
136	2000-07-10	0,00	0,00	0,0000	0,00	0
137	2000-07-11	0,00	0,00	0,0000	0,00	0
138	2000-07-12	0,00	0,00	0,0000	0,00	0
139	2000-07-13	0,00	0,00	0,0000	0,00	0
140	2000-07-14	0,00	0,00	0,0000	0,00	0
141	2000-07-17	0,00	0,00	0,0000	0,00	0
142	2000-07-18	0,00	0,00	0,0000	0,00	0
143	2000-07-19	0,00	0,00	0,0000	0,00	0
144	2000-07-20	0,00	0,00	0,0000	0,00	0
145	2000-07-21	0,00	0,00	0,0000	0,00	0
146	2000-07-24	0,00	0,00	0,0000	0,00	0
147	2000-07-25	0,00	0,00	0,0000	0,00	0
148	2000-07-26	0,00	0,00	0,0000	0,00	0
149	2000-07-27	0,00	0,00	0,0000	0,00	0
150	2000-07-28	0,00	0,00	0,0000	0,00	0
151	2000-07-31	0,00	0,00	0,0000	0,00	0
152	2000-08-01	0,00	0,00	0,0000	0,00	0
153	2000-08-02	0,00	0,00	0,0000	0,00	0
154	2000-08-03	0,00	0,00	0,0000	0,00	0
155	2000-08-04	0,00	0,00	0,0000	0,00	0
156	2000-08-07	0,00	0,00	0,0000	0,00	0
157	2000-08-08	0,00	0,00	0,0000	0,00	0
158	2000-08-09	0,00	0,00	0,0000	0,00	0
159	2000-08-10	0,00	0,00	0,0000	0,00	0
160	2000-08-11	0,00	0,00	0,0000	0,00	0
161	2000-08-14	0,00	0,00	0,0000	0,00	0
162	2000-08-15	0,00	0,00	0,0000	0,00	0
163	2000-08-16	0,00	0,00	0,0000	0,00	0
164	2000-08-17	0,00	0,00	0,0000	0,00	0
165	2000-08-18	0,00	0,00	0,0000	0,00	0
166	2000-08-21	0,00	0,00	0,0000	0,00	0
167	2000-08-22	0,00	0,00	0,0000	0,00	0
168	2000-08-23	0,00	0,00	0,0000	0,00	0
169	2000-08-24	0,00	0,00	0,0000	0,00	0
170	2000-08-25	0,00	0,00	0,0000	0,00	0
171	2000-08-28	0,00	0,00	0,0000	0,00	0
172	2000-08-29	0,00	0,00	0,0000	0,00	0
173	2000-08-30	0,00	0,00	0,0000	0,00	0
174	2000-08-31	0,00	0,00	0,0000	0,00	0
175	2000-09-01	0,00	0,00	0,0000	0,00	0
176	2000-09-04	0,00	0,00	0,0000	0,00	0
177	2000-09-05	0,00	0,00	0,0000	0,00	0
178	2000-09-06	0,00	0,00	0,0000	0,00	0
179	2000-09-07	0,00	0,00	0,0000	0,00	0
180	2000-09-08	0,00	0,00	0,0000	0,00	0
181	2000-09-11	0,00	0,00	0,0000	0,00	0
182	2000-09-12	0,00	0,00	0,0000	0,00	0
183	2000-09-13	0,00	0,00	0,0000	0,00	0
184	2000-09-14	0,00	0,00	0,0000	0,00	0
185	2000-09-15	0,00	0,00	0,0000	0,00	0
186	2000-09-18	0,00	0,00	0,0000	0,00	0
187	2000-09-19	0,00	0,00	0,0000	0,00	0
188	2000-09-20	0,00	0,00	0,0000	0,00	0
189	2000-09-21	0,00	0,00	0,0000	0,00	0
190	2000-09-22	0,00	0,00	0,0000	0,00	0
191	2000-09-25	0,00	0,00	0,0000	0,00	0
192	2000-09-26	0,00	0,00	0,0000	0,00	0
193	2000-09-27	0,00	0,00	0,0000	0,00	0
194	2000-09-28	0,00	0,00	0,0000	0,00	0
195	2000-09-29	0,00	0,00	0,0000	0,00	0
196	2000-10-02	0,00	0,00	0,0000	0,00	0
197	2000-10-03	0,00	0,00	0,0000	0,00	0
198	2000-10-04	0,00	0,00	0,0000	0,00	0
199	2000-10-05	0,00	0,00	0,0000	0,00	0
200	2000-10-06	0,00	0,00	0,0000	0,00	0
201	2000-10-09	0,00	0,00	0,0000	0,00	0
202	2000-10-10	0,00	0,00	0,0000	0,00	0
203	2000-10-11	0,00	0,00	0,0000	0,00	0
204	2000-10-12	0,00	0,00	0,0000	0,00	0
205	2000-10-13	0,00	0,00	0,0000	0,00	0
206	2000-10-16	0,00	0,00	0,0000	0,00	0
207	2000-10-17	0,00	0,00	0,0000	0,00	0
208	2000-10-18	0,00	0,00	0,0000	0,00	0
209	2000-10-19	0,00	0,00	0,0000	0,00	0
210	2000-10-20	0,00	0,00	0,0000	0,00	0
211	2000-10-23	0,00	0,00	0,0000	0,00	0
212	2000-10-24	0,00	0,00	0,0000	0,00	0
213	2000-10-25	0,00	0,00	0,0000	0,00	0
214	2000-10-26	0,00	0,00	0,0000	0,00	0
215	2000-10-27	0,00	0,00	0,0000	0,00	0
216	2000-10-30	0,00	0,00	0,0000	0,00	0
217	2000-10-31	0,00	0,00	0,0000	0,00	0
218	2000-11-01	0,00	0,00	0,0000	0,00	0
219	2000-11-02	0,00	0,00	0,0000	0,00	0
220	2000-11-03	0,00	0,00	0,0000	0,00	0
221	2000-11-06	0,00	0,00	0,0000	0,00	0
222	2000-11-07	0,00	0,00	0,0000	0,00	0
223	2000-11-08	0,00	0,00	0,0000	0,00	0
224	2000-11-09	0,00	0,00	0,0000	0,00	0
225	2000-11-10	0,00	0,00	0,0000	0,00	0
226	2000-11-13	0,00	0,00	0,0000	0,00	0
227	2000-11-14	0,00	0,00	0,0000	0,00	0
228	2000-11-15	0,00	0,00	0,0000	0,00	0
229	2000-11-16	0,00	0,00	0,0000	0,00	0
230	2000-11-17	0,00	0,00	0,0000	0,00	0
231	2000-11-20	0,00	0,00	0,0000	0,00	0
232	2000-11-21	0,00	0,00	0,0000	0,00	0
233	2000-11-22	0,00	0,00	0,0000	0,00	0
234	2000-11-23	0,00	0,00	0,0000	0,00	0
235	2000-11-24	0,00	0,00	0,0000	0,00	0
236	2000-11-27	0,00	0,00	0,0000	0,00	0
237	2000-11-28	0,00	0,00	0,0000	0,00	0
238	2000-11-29	0,00	0,00	0,0000	0,00	0
239	2000-11-30	0,00	0,00	0,0000	0,00	0
240	2000-12-01	0,00	0,00	0,0000	0,00	0
241	2000-12-04	0,00	0,00	0,0000	0,00	0
242	2000-12-05	0,00	0,00	0,0000	0,00	0
243	2000-12-06	0,00	0,00	0,0000	0,00	0
244	2000-12-07	0,00	0,00	0,0000	0,00	0
245	2000-12-08	0,00	0,00	0,0000	0,00	0
