Max1: 2  65849,3125604948
1	0
2	65849,3125604948
3	10742,1911096031
4	6470,62166462363
5	2150,26486852747
6	3258,34510259102
7	3273,33072325433
8	3309,8720397765
9	6810,26706421273
10	5152,42790075232
11	4011,8028076209
12	2669,25828518173
13	2773,15982383856
14	2431,22857376377
15	1834,32374823693
16	962,988168542002
17	1058,13577627628
18	863,748397606227
19	587,410558518275
20	397,649934055152
21	472,753608424579
22	499,630937175454
23	476,842785704945
24	532,34046292957
25	504,729688100496
26	570,917742346708
27	466,177066871078
28	472,454227345082
29	379,798411076491
30	274,754939709934
31	260,047507825109
32	224,134431489089
33	281,112091231781
34	282,571638068238
35	264,15083097346
36	130,74547133819
37	156,948782939163
38	108,903517689441
39	121,680528350342
40	116,876055043341
41	113,187902495047
42	149,384593489321
43	119,49468054894
44	194,276503837044
45	168,002185074296
46	110,814422432273
47	100,190169019463
48	20,0027100521197
49	18,9523148951927
50	20,3277787164134
51	25,7951014288119
52	24,6611560166572
53	24,073839636809
54	24,7207924484272
55	24,5286350869059
56	21,696114661256
57	16,485490465532
58	14,4200974685654
59	12,625877985022
60	11,9741302152252
61	11,662645227015
62	12,6854180259226
63	8,58397265768224
64	7,72252915306521
65	8,88373889116008
66	7,63553946142704
67	7,98416157058477
68	6,97581550623271
69	6,43579929856073
70	6,31563126528469
71	7,15320650071755
72	7,31027289468149
73	9,04762090746431
74	8,50134447239758
75	9,37044867214254
76	9,66111779334351
77	10,7342865565863
78	8,87001203471579
79	9,78253998132195
80	10,1955512356629
81	10,7872108071443
82	7,71463312441494
83	8,84056907524281
84	8,97142230388867
85	8,71435373046629
86	9,58464758219168
87	8,73790244755125
88	11,1298764963084
89	10,1597209803759
90	9,50672987682034
91	7,50831760691499
92	7,89154107707508
93	6,27977495713648
94	8,40798490736274
95	6,11396379311311
96	6,69070654136343
97	6,43288409603858
98	7,06198079797482
99	7,8316773945099
100	7,63561190587256
101	8,47727587258076
102	7,85919693955923
103	9,6486480645452
104	10,9502588162317
105	10,7949615427013
106	8,72849241454319
107	8,76684830525694
108	9,43149541447977
109	10,0222303083238
110	8,42772714098109
111	9,14631910797607
112	11,2613051575387
113	11,1928564146829
114	11,9786507102118
115	12,7118778882405
116	13,0146770948028
117	14,5787494339988
118	19,0729529096108
119	18,1597096682195
120	17,3582493403165
121	17,2819154052576
122	13,0378254460661
123	12,6807806121821
124	12,8666504902182
125	13,2918209413529
126	13,9596609255825
127	12,8232584444461
128	12,2129527296159
129	10,4236727313426
130	10,4614722438876
131	10,3087541584898
132	11,4238227255078
133	9,85989603885241
134	10,4871374062856
135	10,2750379459285
136	11,3025417405213
137	11,7739209531668
138	10,5259037928445
139	12,6060947672605
140	12,879146290593
141	14,5674866320075
142	13,0298785940999
143	12,0621715196301
144	11,7862272898415
145	10,9895041153994
146	11,267238724094
147	10,1851946151926
148	9,74997029041514
149	9,49849187793743
150	10,590306400976
151	9,61396079439306
152	9,90387757608602
153	9,43216191436614
154	10,7459722569255
155	7,38929802747111
156	6,45789881258028
157	6,15513685244307
158	6,17082001596808
159	5,90824518454038
160	5,81976420923131
161	6,19314514789646
162	6,30804789783476
163	6,78670863374904
164	7,76688948567446
165	7,22766945764636
166	6,867145128506
167	6,47129897009224
168	6,44772045622966
169	5,89141240250505
170	5,52148915720035
171	5,98022071888654
172	5,88942391532802
173	6,53984386789715
174	7,02317231060303
175	6,69954516086867
176	6,43955928903215
177	6,33219934209905
178	5,68500809527716
179	6,6577995170698
180	7,04472757680002
181	8,10941752455635
182	8,46283909871382
183	7,545798613296
184	7,43453400175128
185	8,54373736067119
186	9,24359605578463
187	9,08843025371435
188	12,5486496740856
189	9,20694498753501
190	9,32165002719609
191	10,4531711365908
192	9,97638496102202
193	10,261576447395
194	9,81557927117708
195	9,37526721067331
196	8,97510717548607
197	9,14418989096725
198	9,15698138305712
199	6,68505702549961
200	8,10689419568936
